feedback_id,customer_id,feedback_text,feedback_category,date,sentiment,response_required,response_time,resolved
88,2653,Organization prove day because character us draw live.,Product Quality,2024-07-30,negative,Yes,36.28002666398138,No
89,2540,Minute hear nature because dinner society mind drug subject father skill trouble.,Pricing,2024-04-15,positive,No,,Yes
90,1165,Machine finish law fall continue economy.,Product Quality,2024-07-25,negative,Yes,,Yes
91,2030,Media list spring last throughout side argue themselves.,Delivery,2024-01-14,neutral,Yes,52.21930637751747,Yes
92,2315,Sometimes student people professor cause difficult yard during wish near tend.,Pricing,2024-01-21,positive,Yes,15.463457083023105,Yes
93,2355,Play fast nature war organization concern major plant weight.,Delivery,2024-07-03,positive,No,57.53272724495562,No
94,1349,Everything head true consumer them before next local ever hour itself service always also say particular indeed.,Customer Support,2024-04-11,positive,Yes,52.25513288877613,No
95,3051,Here pass quite wall mouth myself drop like manager old rich might news evening toward style air.,Delivery,2024-03-13,neutral,No,,Yes
96,3613,Free quickly general build responsibility check who relationship window understand five your democratic leg bit call important expect expert.,Customer Support,2024-04-08,negative,Yes,31.82629527777875,Yes
97,3913,Product wind lose require call ready establish news center consider someone guess century debate coach somebody quality.,Product Quality,2024-02-23,positive,Yes,55.832263295938475,No
98,3074,Everyone federal challenge eat let door factor whether free.,Delivery,2024-08-16,positive,No,31.627336336333602,Yes
99,4076,Difference hot evening step trial entire central.,Pricing,2024-07-19,negative,No,31.077042826123847,No
100,1948,Create to watch.,Product Quality,2024-07-30,neutral,No,,Yes
101,1300,Too do resource outside collection dream clear lead local blood another.,Customer Support,2024-05-04,negative,Yes,,No
102,1140,Beyond truth evidence art energy across room drop degree close site arrive on.,Pricing,2024-01-08,positive,No,,Yes
103,1380,Beyond by consider federal.,Delivery,2024-04-28,negative,Yes,23.595595909237296,No
104,4799,Agree decision better source tell.,Product Quality,2024-02-20,positive,Yes,,Yes
105,4824,Street federal long brother why white economic goal note evidence reality direction short fear.,Pricing,2024-08-12,neutral,Yes,,Yes
106,4463,Short politics sister answer join.,Delivery,2024-01-21,neutral,No,50.72572721429643,Yes
107,4501,Event stop someone race concern few give type other turn rich society before east owner star year opportunity.,Pricing,2024-08-24,neutral,No,22.127876800041733,No
108,1180,Support article plan cut although to husband claim long phone after machine hour without gun plant worry value ahead.,Product Quality,2024-03-06,neutral,No,,No
109,1431,Citizen participant some between.,Customer Support,2024-07-09,negative,No,46.424967285618344,Yes
110,2894,Nature deep church clear into power newspaper.,Customer Support,2024-03-08,neutral,No,,No
111,4819,Day high daughter film beautiful consumer then data else.,Pricing,2024-01-06,negative,No,,No
112,2321,During ahead run degree.,Pricing,2024-08-30,positive,No,,No
113,1241,Say better by responsibility soon investment.,Product Quality,2024-06-03,positive,No,56.19847907571744,No
114,4601,Dog expect situation run.,Customer Support,2024-03-02,positive,Yes,48.29020753945408,Yes
115,2461,Foreign technology toward probably town white serious set figure how nice enter defense including friend himself me.,Customer Support,2024-07-23,positive,Yes,,Yes
116,2013,Show avoid company box treatment concern trouble able order prove spend if.,Pricing,2024-05-25,negative,Yes,13.599652140735348,No
117,1882,Fill that how start north effort stay decision computer how card.,Customer Support,2024-07-03,negative,No,23.871735506758743,Yes
118,2774,Down any another series security edge skin career other service house difficult person pay.,Delivery,2024-06-28,neutral,No,,No
119,4302,This rest career son describe Republican end either not part lose music agreement heavy subject morning.,Pricing,2024-04-12,negative,No,,No
120,1125,Try three should and notice into his hospital himself black teacher along a brother require dark.,Delivery,2024-02-06,negative,Yes,,No
121,2047,Within whole time learn.,Pricing,2024-03-03,neutral,Yes,,Yes
122,3561,Almost finish contain yard.,Delivery,2024-04-08,negative,Yes,,Yes
123,3021,Rich one nothing imagine audience.,Pricing,2024-08-28,negative,No,14.819942668629912,Yes
124,4128,When under hair case what reason social stand born image.,Pricing,2024-01-01,neutral,Yes,,No
125,3517,Party contain eight nice despite though lose manager computer about.,Customer Support,2024-05-17,neutral,No,46.34596815420814,Yes
126,3727,Event left test goal as foreign either group learn almost.,Product Quality,2024-08-23,positive,Yes,37.74176431755583,Yes
127,3546,Yes discover imagine coach information state why during same.,Product Quality,2024-04-24,negative,No,,Yes
128,4801,Market woman likely season wait Mr statement.,Pricing,2024-07-02,negative,Yes,44.16823383284805,Yes
129,3608,She light land from former skin Republican happen everybody strong pressure particular.,Pricing,2024-01-04,positive,No,,No
130,4892,Cell strong gun although act drug.,Product Quality,2024-02-29,positive,Yes,,No
131,1029,Defense positive have card meeting note worker least sure push heart he my lawyer ball.,Pricing,2024-02-09,positive,No,,Yes
132,1262,Product week painting down thousand car through animal.,Pricing,2024-07-12,neutral,Yes,,No
133,2377,Skin hotel expert magazine now inside guess paper wall star mother.,Delivery,2024-05-26,neutral,Yes,,Yes
134,1751,Continue common star different attack left rule finish manage.,Delivery,2024-04-07,neutral,No,,Yes
135,3123,Manager month bill finally analysis even feeling.,Customer Support,2024-05-30,negative,No,32.22572994704078,No
136,2354,Remember beyond environmental shoulder.,Pricing,2024-03-19,negative,No,19.21351308118065,Yes
137,3366,Allow change doctor measure low cause sell might.,Customer Support,2024-07-21,neutral,Yes,,No
138,1711,At arm always by bag responsibility respond take body.,Pricing,2024-04-25,neutral,No,,Yes
139,2694,Pattern who many writer author pay themselves cup would public several respond.,Delivery,2024-05-18,positive,No,,No
140,1119,Special yes own appear among education once.,Product Quality,2024-05-24,neutral,No,,Yes
141,1944,Town necessary every about bag.,Pricing,2024-07-24,negative,No,19.69046741147251,No
142,2554,Candidate smile policy need perhaps not.,Product Quality,2024-04-29,positive,Yes,35.11198616565117,Yes
143,4669,Because drop once into.,Delivery,2024-06-22,negative,Yes,,No
144,1383,Floor protect produce party.,Customer Support,2024-03-21,positive,No,,Yes
145,3999,Amount line brother themselves poor bit few prepare truth number over.,Product Quality,2024-03-26,positive,No,30.59616750324413,No
146,4829,Garden throughout trouble almost series issue later brother maintain.,Delivery,2024-08-20,positive,Yes,,Yes
147,3701,Now lay over artist chair.,Customer Support,2024-03-06,neutral,No,55.4682969703374,Yes
148,1564,Get traditional help employee start candidate threat.,Delivery,2024-02-12,positive,Yes,,Yes
149,3266,While year wonder performance cell enter you north development road green anyone heavy bar improve smile.,Product Quality,2024-06-15,positive,No,47.71290672314229,No
150,1537,Another light worry night stage themselves series avoid mission where section skin around born.,Product Quality,2024-09-07,negative,Yes,,Yes
151,3962,Quite anything five hospital be radio throughout hard because general television.,Pricing,2024-07-23,neutral,No,,Yes
152,1661,Machine least church fine audience young reduce land agent.,Delivery,2024-05-11,neutral,No,,No
153,2090,Measure tough red idea between quickly.,Customer Support,2024-01-06,neutral,Yes,55.15013437407687,Yes
154,4963,Theory management law buy land participant season smile choose card assume could.,Product Quality,2024-03-16,negative,Yes,11.544824337502787,Yes
155,4153,Girl what prove interest garden support customer across all during window strong risk.,Delivery,2024-06-09,neutral,Yes,,Yes
156,1312,Stock standard item will it someone her.,Product Quality,2024-01-27,neutral,Yes,58.71468110117432,Yes
157,2157,Number same bed wait common list example break federal machine play less cup serve card voice.,Customer Support,2024-07-26,positive,No,58.65911767350979,Yes
158,3248,Situation try fire daughter something.,Pricing,2024-08-26,neutral,Yes,,No
159,2852,Once federal local wall list recent attorney.,Customer Support,2024-09-08,positive,Yes,22.34036836236885,Yes
160,4287,House country prove main none.,Delivery,2024-01-24,neutral,No,,No
161,4201,Thought low hold unit general short upon.,Pricing,2024-06-11,positive,No,,Yes
162,3101,Congress law win feeling several wear people store rest method collection property use.,Customer Support,2024-02-26,negative,Yes,59.11340792068641,No
163,1674,Much politics maintain special think crime bank whole significant then.,Customer Support,2024-03-13,positive,No,,Yes
164,4225,Value fast finish up spring add bed great into ahead cover.,Delivery,2024-08-26,positive,Yes,54.749516396299285,Yes
165,4190,Beyond offer similar both radio consider cause really position.,Product Quality,2024-07-14,negative,Yes,,No
166,1341,Air network medical need station national.,Customer Support,2024-08-07,negative,Yes,,Yes
167,3241,Day list himself song energy respond.,Pricing,2024-07-24,positive,Yes,,Yes
168,3789,More in authority others report production.,Delivery,2024-08-16,neutral,No,37.89942434448538,No
169,3551,Wonder eight that article blood strong situation listen reduce degree level good American.,Delivery,2024-02-21,negative,Yes,,No
170,1668,Rather boy point.,Customer Support,2024-06-21,neutral,No,,Yes
171,4944,Baby school local while owner ever.,Product Quality,2024-03-30,neutral,No,,No
172,1109,Him night pretty inside answer difficult fire base candidate well officer market.,Product Quality,2024-07-09,positive,No,48.78804039522728,No
173,1503,Work safe book provide north test number however miss decide tax begin school claim century rise push high somebody.,Delivery,2024-07-05,neutral,No,42.68135582217542,Yes
174,2831,Drop eye international option campaign television international half painting out.,Delivery,2024-03-16,neutral,No,36.29964388231825,No
175,2682,Popular fear personal near level create various election memory.,Product Quality,2024-04-23,positive,No,46.95030092029295,No
176,4152,Happy chair price house.,Customer Support,2024-02-05,positive,Yes,,Yes
177,3309,Bring police sing today road free house what.,Delivery,2024-07-29,positive,No,27.224879878742666,No
178,2535,Miss according wrong could over message class prove teach professional always discover community certainly owner quality one group clear.,Delivery,2024-03-15,neutral,No,,No
179,2045,Marriage oil court base sing think hold law former responsibility article score turn.,Customer Support,2024-09-12,negative,Yes,,No
180,2751,Mind ago site positive recent rock race first make.,Pricing,2024-08-15,negative,Yes,,No
181,3356,Help game push share environment well run item mean someone could where feeling.,Pricing,2024-09-10,neutral,No,15.66008175470591,No
182,2144,Dinner activity drug benefit thing rate particularly community various above blue cultural available yeah language.,Delivery,2024-04-02,neutral,Yes,24.679554736861927,Yes
183,4825,Oil Mr easy decade.,Delivery,2024-07-09,positive,No,42.376372529344636,Yes
184,3685,Form else blood.,Product Quality,2024-04-22,negative,Yes,44.686291030824215,Yes
185,4144,College move police possible.,Product Quality,2024-08-27,positive,No,36.642950985382456,No
186,1828,Bill however high mean agreement significant dog.,Delivery,2024-02-29,neutral,No,,No
187,1096,Back economic entire present water much.,Customer Support,2024-04-15,neutral,No,,Yes
188,4147,Dark near whose woman develop become political run offer.,Delivery,2024-07-31,positive,No,,Yes
189,1380,Summer religious trouble step we during affect six bad find.,Product Quality,2024-06-12,negative,No,,No
190,1532,Throw blood national reach truth quite foreign sport goal key.,Pricing,2024-08-26,positive,No,56.09885666198256,No
191,4551,Establish beat hospital today gas.,Delivery,2024-05-20,positive,No,,Yes
192,3746,So heavy weight real happy evidence claim matter.,Product Quality,2024-02-07,neutral,No,46.00262402945069,Yes
193,1523,Knowledge specific south throw paper voice huge likely ever charge condition success.,Pricing,2024-02-18,neutral,Yes,31.308169433375934,Yes
194,4391,Special find we everyone include hold may pretty.,Pricing,2024-03-29,negative,No,,Yes
195,1248,Job analysis large company have idea front manage why beyond focus team structure feel service.,Product Quality,2024-03-24,positive,Yes,,No
196,4643,When size almost fire above popular generation strategy knowledge inside event whole career party from theory hospital anyone.,Customer Support,2024-03-21,neutral,No,,No
197,4784,Above wall value process apply cost economic.,Customer Support,2024-06-04,positive,Yes,10.027281730582096,Yes
198,4772,Create cup community exactly majority bar impact remain difference prove firm message address nor something court.,Pricing,2024-04-20,neutral,No,,No
199,1570,Pattern section administration learn base sign.,Product Quality,2024-06-12,neutral,Yes,,No
200,3963,Parent behind physical benefit end then bed to kind decide despite.,Customer Support,2024-05-30,negative,No,,No
201,4665,Member head everything collection trial trouble common tend top.,Delivery,2024-09-12,positive,No,,Yes
202,1843,Team direction long where.,Product Quality,2024-04-27,neutral,No,,Yes
203,4582,Agree modern animal rule data fight avoid.,Delivery,2024-05-08,positive,Yes,23.926415858461382,No
204,1017,Control fund employee modern power pressure still teacher value practice always choose bill participant.,Customer Support,2024-02-28,neutral,No,,No
205,1291,Guess watch during professional back top center teach and writer stock.,Delivery,2024-01-25,negative,Yes,,No
206,1980,Environment smile call senior page face dream great by herself source message task water black think center look.,Pricing,2024-09-12,negative,Yes,57.730164040119334,No
207,1997,Technology small sell and full lot expect close reflect situation take information.,Customer Support,2024-01-20,positive,No,,No
208,4600,Scientist baby specific weight human.,Customer Support,2024-07-24,neutral,No,,No
209,2924,Right different recent together imagine.,Product Quality,2024-05-04,positive,Yes,18.71868726627027,No
210,3617,Technology cold party father candidate you life ok wind fly same seek very after no.,Customer Support,2024-05-12,positive,Yes,,Yes
211,3131,Many reflect everything strong very focus improve raise happen hold plan situation class.,Product Quality,2024-03-15,negative,No,,No
212,2885,Ask rich newspaper floor upon culture base standard.,Delivery,2024-02-05,neutral,No,48.19910788493523,Yes
213,3184,Another sometimes take six management whom seat trip themselves foot mean fish information to fill.,Customer Support,2024-05-30,neutral,No,50.17074240419593,No
214,3041,Exist skin wait might approach indeed contain time above idea its bring accept above institution.,Delivery,2024-08-10,positive,No,,Yes
215,1805,Popular try just he.,Delivery,2024-08-24,neutral,Yes,48.221591873034846,No
216,4915,Rather ball ten sense specific interview physical adult degree where.,Product Quality,2024-06-14,positive,Yes,,No
217,1278,Heavy cultural a Republican rule personal travel room word usually agreement policy allow international minute sell financial reach player drop.,Delivery,2024-08-11,positive,No,15.112517899394913,No
218,3112,Network individual fast college discover many use everybody if mouth whose site choice major.,Customer Support,2024-08-11,positive,No,55.35719179796207,No
219,1437,Identify professional environment agree foot mission.,Product Quality,2024-01-24,neutral,Yes,47.37305654935537,Yes
220,1455,Civil especially second close those.,Delivery,2024-07-19,neutral,No,50.876644564140435,Yes
221,1825,Call trade world road under leader pay drug positive.,Customer Support,2024-02-28,positive,Yes,28.230359070209783,Yes
222,3160,Hair week position mean score first voice huge movement seem high great yourself treat.,Pricing,2024-01-05,negative,Yes,,Yes
223,1078,Level actually almost want floor camera.,Product Quality,2024-07-07,positive,No,18.48473124731735,Yes
224,1152,Remain including beautiful husband perhaps defense.,Product Quality,2024-07-16,neutral,No,,Yes
225,1627,Take deal you everyone quality decide pull.,Product Quality,2024-04-20,positive,No,,Yes
226,2639,Among almost arrive.,Customer Support,2024-07-30,neutral,No,,No
227,1597,Size use economy note sometimes paper sense dream laugh notice simply that do.,Delivery,2024-01-04,negative,No,37.01429846157667,No
228,2863,Station artist radio three long new general speak control player their check including reduce meet relationship research apply bit.,Product Quality,2024-01-27,neutral,No,18.852921568528277,Yes
229,2191,Rather rule not.,Product Quality,2024-05-08,neutral,No,,Yes
230,1031,Behavior single at find stage sea professor there worry instead political blue at data president much.,Pricing,2024-02-04,negative,Yes,,Yes
231,4778,Measure event international blood oil what defense story apply.,Product Quality,2024-02-08,neutral,Yes,18.436026258329647,No
232,2899,Your spend stay with Congress spring campaign project common mouth.,Customer Support,2024-02-08,positive,Yes,,No
233,4887,Push because improve admit show artist.,Pricing,2024-01-01,positive,Yes,,Yes
234,2914,Hour laugh product four subject throw personal.,Product Quality,2024-04-18,negative,No,,Yes
235,1152,Front against current thus already would property speech call.,Customer Support,2024-06-01,negative,No,14.26798155916427,Yes
236,4771,Carry run tell still term build white material where ready material doctor ability decide as thing order see teach system.,Product Quality,2024-09-06,negative,Yes,,Yes
237,3829,Evidence group during matter white chair challenge make safe involve follow.,Pricing,2024-07-17,negative,Yes,51.80533289927321,Yes
238,1821,Where we station star present trade situation.,Customer Support,2024-05-27,positive,Yes,55.54486162092872,Yes
239,2595,Sea throw keep fish we thousand positive trade.,Product Quality,2024-04-29,negative,No,16.517932848575764,Yes
240,2941,Ago management hit real physical sell.,Customer Support,2024-02-14,neutral,No,20.883555394943798,No
241,2764,Perform myself nor these minute class system type mission field he not.,Pricing,2024-03-09,positive,No,31.785665066056133,Yes
242,2121,That candidate music from several reflect rich discussion guess special.,Pricing,2024-01-17,positive,Yes,,No
243,1942,Over end money statement matter yourself notice.,Product Quality,2024-03-07,positive,No,58.50574830050496,Yes
244,4514,At table speech road marriage parent expert political degree forget open research sister top standard people stuff.,Delivery,2024-03-13,negative,Yes,,No
245,2929,Culture poor most measure small single could fight fish.,Pricing,2024-04-21,negative,No,,Yes
246,3423,Today remain billion important man call add citizen somebody ball man information.,Delivery,2024-03-24,neutral,Yes,55.02510961383327,Yes
247,4703,Suffer perform recently north buy security network data friend candidate us appear thus class Republican glass size role.,Delivery,2024-03-25,negative,No,43.71119267406486,No
248,1205,Avoid power green leg mind.,Pricing,2024-01-03,negative,Yes,,Yes
249,4191,Protect receive Mrs beyond list mean.,Pricing,2024-08-30,positive,Yes,48.12694970543042,No
250,2686,Leg nation than music movie fact table above would care.,Product Quality,2024-09-05,neutral,Yes,,No
251,1092,Call long election try anything nation pressure throw speech ten set over protect response.,Customer Support,2024-05-26,positive,Yes,,Yes
252,3118,Oil money hear join write consumer customer process.,Pricing,2024-04-13,positive,No,30.966403177848825,Yes
253,4995,During seat avoid defense citizen way grow suddenly.,Pricing,2024-07-11,negative,Yes,,No
254,2890,Record ago partner fact hotel new responsibility use against large now listen prevent charge still.,Product Quality,2024-01-19,negative,Yes,10.327978657132904,No
255,4604,Idea test language can guy.,Product Quality,2024-04-11,neutral,Yes,,No
256,1121,Fish wait defense serious must catch discussion recognize past what serve world operation collection star.,Customer Support,2024-02-07,negative,No,,Yes
257,3704,Join foreign color kind which beyond daughter since perhaps nothing agency physical.,Pricing,2024-01-30,negative,Yes,32.61182901045366,Yes
258,4965,Person special first why option.,Product Quality,2024-01-05,neutral,No,28.329917145668812,Yes
259,2638,Kind put executive.,Delivery,2024-08-12,neutral,No,,Yes
260,2260,Treatment hot sister return whatever.,Product Quality,2024-07-06,positive,Yes,,Yes
261,2531,Yard market spend station eight.,Delivery,2024-06-04,negative,Yes,,No
262,1158,Tv itself arrive use agent up house small mention nation minute experience pass possible two.,Customer Support,2024-06-11,neutral,Yes,,Yes
263,3534,While generation drug management cover lawyer country foot.,Customer Support,2024-02-02,positive,Yes,36.830350190003294,No
264,4319,Thousand realize effect relate gas.,Delivery,2024-02-29,positive,No,,Yes
265,3013,His interesting total ready ago to.,Customer Support,2024-04-06,negative,No,,No
266,4919,Development something wide ago.,Delivery,2024-08-11,neutral,No,,Yes
267,3735,Art time recognize occur left yard.,Delivery,2024-02-18,negative,Yes,,No
268,1835,Include walk everybody himself of born series.,Delivery,2024-02-16,negative,Yes,19.49222470978591,Yes
269,3291,Sell nor from subject she popular expert management degree add direction summer including continue team a or send career.,Delivery,2024-05-18,negative,No,,Yes
270,4155,Significant history until peace her national town try range strategy door cup teacher short.,Delivery,2024-05-01,negative,No,20.53022011729488,No
271,3129,Enjoy per street.,Delivery,2024-02-23,positive,No,35.63566533932257,Yes
272,4863,Important eye involve operation audience factor.,Customer Support,2024-05-31,positive,Yes,,Yes
273,2739,Section international position item money environmental explain right.,Pricing,2024-05-01,negative,No,,Yes
274,1212,Somebody evidence including hospital.,Product Quality,2024-04-03,negative,Yes,,Yes
275,4209,Such itself left happy certainly government.,Delivery,2024-05-14,neutral,Yes,,Yes
276,3682,Technology forward any offer son sport kid.,Product Quality,2024-01-17,neutral,Yes,,No
277,1847,Site he which dinner page consider boy point head leader amount result.,Product Quality,2024-06-08,positive,Yes,,Yes
278,3218,Push history perform husband address practice success public maybe make.,Pricing,2024-06-03,negative,No,43.01937798148888,No
279,2003,Very outside half impact because friend sometimes perform statement food.,Customer Support,2024-01-22,negative,No,43.975921972132404,Yes
280,1980,Whether network cold note explain condition water firm from plant sound.,Pricing,2024-02-02,negative,Yes,,No
